Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,50,Wheat,Chile,3.87,3.87,0.0,78.7,1.31,18.09,4.91,2.2,86.39,C,85.56350108819899
1,Wheat & Rye (Bread),starch_rich,51,Wheat,Chile,9.75,9.75,0.0,198.23,1.09,4.71,0.58,2.2,86.39,O,14.260583514699833
1,Wheat & Rye (Bread),starch_rich,178,Wheat,Mexico,2.4,2.4,0.0,137.24,0.86,12.30,7.5,172.85,201.07,C,0.10554923826070754
1,Wheat & Rye (Bread),starch_rich,179,Wheat,Mexico,3.4,3.4,0.0,194.28,2.36,15.46,7.08,158.76,188.13,C,0.035183079420235845
1,Wheat & Rye (Bread),starch_rich,180,Wheat,Mexico,2.32,2.32,0.0,132.27,0.52,11.88,5.61,172.5,200.75,C,0.035183079420235845
2,Maize (Meal),starch_rich,265,Maize,Argentina,1.81,1.81,0.0,12.2,1.29,9.33,2.18,507.92,10446.72,C,0.28328611898017003
2,Maize (Meal),starch_rich,266,Maize,Australia,3.42,3.42,0.0,38.16,1.07,14.38,5.64,0.0,0.0,C,0.1888574126534467
2,Maize (Meal),starch_rich,268,Maize,Belgium,2.75,2.75,0.0,4.48,0.89,9.57,4.74,0.0,0.0,C,0.28328611898017003
2,Maize (Meal),starch_rich,270,Maize,Brazil,1.32,1.32,0.0,14.26,1.45,20.63,7.68,0.0,0.0,C,2.26628895184136
2,Maize (Meal),starch_rich,271,Maize,Brazil,1.19,1.19,0.0,32.19,1.35,25.48,8.12,0.0,0.0,C,3.39943342776204
2,Maize (Meal),starch_rich,286,Summer maize,China,0.87,0.87,0.0,3.55,0.88,11.10,5.07,828.88,79034.31,C,1.5108593012275735
2,Maize (Meal),starch_rich,288,Maize,China,0.97,0.97,0.0,3.96,1.38,21.00,4.58,258.16,24615.47,C,0.84985835694051
2,Maize (Meal),starch_rich,289,Maize,China,1.07,1.07,0.0,4.37,1.51,23.56,5.3,278.32,26538.55,C,0.7554296506137866
2,Maize (Meal),starch_rich,292,Maize,China,4.58,4.58,0.0,7.55,1.04,9.28,18.17,0.0,0.0,C,2.0774315391879137
2,Maize (Meal),starch_rich,293,Maize,China,4.35,4.35,0.0,7.16,0.89,13.53,18.67,0.0,0.0,C,2.0774315391879137
2,Maize (Meal),starch_rich,294,Maize,China,0.99,0.99,0.0,4.05,1.43,25.12,7.39,0.0,0.0,C,2.54957507082153
2,Maize (Meal),starch_rich,295,Maize,China,0.97,0.97,0.0,3.95,1.27,20.17,5.86,0.0,0.0,C,2.54957507082153
2,Maize (Meal),starch_rich,296,Maize,China,9.25,9.25,0.0,33.24,1.32,18.45,7.47,678.68,61472.75,C,1.3220018885741267
2,Maize (Meal),starch_rich,297,Maize,China,18.26,18.26,0.0,65.65,1.34,23.16,7.98,0.0,0.0,C,1.3220018885741267
2,Maize (Meal),starch_rich,299,Summer maize,China,0.96,0.96,0.0,3.94,1.41,20.23,6.46,237.06,22604.18,C,0.47214353163361666
2,Maize (Meal),starch_rich,300,Summer maize,China,0.81,0.81,0.0,3.3,1.27,19.03,6.04,220.72,21045.89,C,0.47214353163361666
2,Maize (Meal),starch_rich,301,Summer maize,China,0.97,0.97,0.0,3.99,1.06,16.20,5.05,181.95,17349.09,C,0.47214353163361666
2,Maize (Meal),starch_rich,302,Summer maize,China,0.49,0.49,0.0,2.02,1.23,18.51,5.86,213.53,20360.66,C,0.47214353163361666
2,Maize (Meal),starch_rich,306,Maize,Cyprus,3.89,3.89,0.0,92.77,0.9,6.93,1.69,637.89,31817.28,C,0.09442870632672334
2,Maize (Meal),starch_rich,312,Maize,France,1.29,1.29,0.0,2.11,0.79,8.15,5.01,221.83,912.79,C,0.1888574126534467
2,Maize (Meal),starch_rich,313,Maize,France,1.38,1.38,0.0,2.27,0.77,8.33,3.2,238.96,983.25,C,0.1888574126534467
2,Maize (Meal),starch_rich,314,Maize,France,1.83,1.83,0.0,6.59,0.98,11.26,5.17,98.12,813.29,C,0.28328611898017003
2,Maize (Meal),starch_rich,315,Maize,France,1.81,1.81,0.0,2.97,1.13,6.81,6.91,115.63,794.4,C,1.0387157695939568
2,Maize (Meal),starch_rich,316,Maize,France,1.85,1.85,0.0,2.64,1.16,6.52,6.81,196.21,2069.33,C,0.56657223796034
2,Maize (Meal),starch_rich,317,Maize,France,1.69,1.69,0.0,2.76,1.06,6.02,6.64,122.08,1384.74,C,0.56657223796034
2,Maize (Meal),starch_rich,318,Maize,France,2.29,2.29,0.0,3.76,0.95,6.99,4.77,55.56,660.31,C,0.3777148253068934
2,Maize (Meal),starch_rich,319,Maize,France,1.61,1.61,0.0,2.64,1.01,5.79,4.4,143.87,722.89,C,0.1888574126534467
