Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,1,Wheat bread,Australia,7.78,7.78,0.0,220.91,3.67,15.35,13.94,9.22,124.33,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,17,Wheat,Australia,5.08,5.08,0.0,63.39,0.67,8.44,1.43,2.19,55.88,C,0.012024043691697052
1,Wheat & Rye (Bread),starch_rich,18,Wheat,Australia,8.65,8.65,0.0,75.2,0.68,9.52,1.86,2.19,55.88,C,0.004294301318463233
1,Wheat & Rye (Bread),starch_rich,19,Wheat,Australia,7.69,7.69,0.0,66.86,0.65,8.37,1.6,2.19,55.88,C,0.001717720527385293
1,Wheat & Rye (Bread),starch_rich,20,Wheat,Australia,8.34,8.34,0.0,236.71,0.72,7.77,1.98,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,21,Wheat,Australia,5.77,5.77,0.0,163.82,0.76,7.75,5.37,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,22,Wheat,Australia,9.36,9.36,0.0,265.66,0.77,15.54,4.71,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,23,Wheat,Australia,8.38,8.38,0.0,237.85,0.9,14.30,4.3,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,24,Wheat,Australia,5.63,5.63,0.0,159.89,0.87,15.10,4.51,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,25,Wheat,Australia,11.86,11.86,0.0,147.96,1.22,4.18,4.06,2.19,55.88,C,0.03177782975662792
1,Wheat & Rye (Bread),starch_rich,26,Wheat,Australia,5.02,5.02,0.0,62.59,0.86,19.71,7.53,2.19,55.88,C,0.012024043691697052
1,Wheat & Rye (Bread),starch_rich,27,Wheat,Australia,8.6,8.6,0.0,267.94,0.94,-,5.69,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,28,Wheat,Australia,8.63,8.63,0.0,245.07,0.92,14.19,4.63,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,29,Wheat,Australia,6.03,6.03,0.0,52.4,1.05,15.55,4.75,2.19,55.88,C,0.001717720527385293
1,Wheat & Rye (Bread),starch_rich,30,Wheat,Australia,5.67,5.67,0.0,14.68,0.81,-,5.36,2.19,55.88,C,0.012024043691697052
1,Wheat & Rye (Bread),starch_rich,31,Wheat,Australia,5.67,5.67,0.0,14.68,0.84,-,5.88,2.19,55.88,C,0.012024043691697052
1,Wheat & Rye (Bread),starch_rich,32,Wheat,Australia,6.7,6.7,0.0,17.34,0.87,-,6.8,2.19,55.88,C,0.012024043691697052
1,Wheat & Rye (Bread),starch_rich,33,Wheat,Australia,8.95,8.95,0.0,254.13,0.94,14.55,0.17,2.19,55.88,C,0.008588602636926465
1,Wheat & Rye (Bread),starch_rich,34,Wheat,Australia,11.18,11.18,0.0,44.15,0.92,9.49,1.16,2.19,55.88,C,0.04036643239355438
1,Wheat & Rye (Bread),starch_rich,35,Wheat,Australia,2.98,2.98,0.0,84.65,0.71,9.89,0.36,2.19,55.88,C,0.012024043691697052
1,Wheat & Rye (Bread),starch_rich,36,Wheat,Australia,3.97,3.97,0.0,34.52,1.03,18.00,7.03,2.19,55.88,C,0.001717720527385293
1,Wheat & Rye (Bread),starch_rich,37,Wheat,Australia,3.82,3.82,0.0,33.22,0.86,11.43,5.65,2.19,55.88,C,0.001717720527385293
1,Wheat & Rye (Bread),starch_rich,38,Wheat,Australia,3.82,3.82,0.0,33.22,0.95,17.58,6.15,2.19,55.88,C,0.004294301318463233
1,Wheat & Rye (Bread),starch_rich,39,Wheat,Australia,3.56,3.56,0.0,30.9,0.75,10.78,4.66,2.19,55.88,C,0.004294301318463233
1,Wheat & Rye (Bread),starch_rich,132,Wheat,India,0.85,0.85,0.0,1.63,0.87,-,3.65,417.47,34313.53,C,7.736413930930798
1,Wheat & Rye (Bread),starch_rich,133,Wheat,India,0.96,0.96,0.0,1.84,0.68,-,3.84,470.19,38663.37,C,0.7033103573573453
1,Wheat & Rye (Bread),starch_rich,134,Wheat flour,India,1.18,1.18,0.0,14.25,0.87,12.74,6.44,918.86,12715.67,C,70.6826909144132
1,Wheat & Rye (Bread),starch_rich,135,Wheat flour,India,1.21,1.21,0.0,14.26,0.87,9.95,14.42,952.69,3684.54,C,9.846345003002835
1,Wheat & Rye (Bread),starch_rich,136,Wheat,India,1.18,1.18,0.0,2.27,0.99,13.23,3.51,1271.81,104799.72,C,0.7033103573573453
1,Wheat & Rye (Bread),starch_rich,137,Wheat,India,1.18,1.18,0.0,2.27,1.0,13.23,3.51,1156.38,95276.57,C,0.7033103573573453
1,Wheat & Rye (Bread),starch_rich,138,Wheat,India,1.18,1.18,0.0,2.27,0.96,13.23,3.51,1266.76,104383.08,C,0.7033103573573453
1,Wheat & Rye (Bread),starch_rich,139,Wheat,India,1.18,1.18,0.0,2.27,0.81,-,4.97,146.49,11957.25,C,7.736413930930798
1,Wheat & Rye (Bread),starch_rich,140,Wheat,India,1.12,1.12,0.0,2.15,0.44,-,4.72,138.67,11312.02,C,0.7033103573573453
1,Wheat & Rye (Bread),starch_rich,198,Wheat,Poland,3.5,3.5,0.0,7.62,1.79,6.71,3.29,2.19,4.26,C,0.17472341806401476
1,Wheat & Rye (Bread),starch_rich,199,Wheat,Poland,2.44,2.44,0.0,3.78,1.9,7.84,11.75,101.89,227.99,C,0.03276064088700277
1,Wheat & Rye (Bread),starch_rich,200,Wheat,Poland,2.44,2.44,0.0,3.77,1.71,7.10,9.81,101.78,227.75,C,0.03276064088700277
2,Maize (Meal),starch_rich,268,Maize,Belgium,2.75,2.75,0.0,4.48,0.89,9.57,4.74,0.0,0.0,C,0.007943438017687583
2,Maize (Meal),starch_rich,312,Maize,France,1.29,1.29,0.0,2.11,0.79,8.15,5.01,221.83,912.79,C,0.005295625345125054
2,Maize (Meal),starch_rich,313,Maize,France,1.38,1.38,0.0,2.27,0.77,8.33,3.2,238.96,983.25,C,0.005295625345125054
2,Maize (Meal),starch_rich,314,Maize,France,1.83,1.83,0.0,6.59,0.98,11.26,5.17,98.12,813.29,C,0.007943438017687583
2,Maize (Meal),starch_rich,315,Maize,France,1.81,1.81,0.0,2.97,1.13,6.81,6.91,115.63,794.4,C,0.029125939398187802
2,Maize (Meal),starch_rich,316,Maize,France,1.85,1.85,0.0,2.64,1.16,6.52,6.81,196.21,2069.33,C,0.015886876035375162
2,Maize (Meal),starch_rich,317,Maize,France,1.69,1.69,0.0,2.76,1.06,6.02,6.64,122.08,1384.74,C,0.015886876035375162
2,Maize (Meal),starch_rich,318,Maize,France,2.29,2.29,0.0,3.76,0.95,6.99,4.77,55.56,660.31,C,0.010591250690250109
2,Maize (Meal),starch_rich,319,Maize,France,1.61,1.61,0.0,2.64,1.01,5.79,4.4,143.87,722.89,C,0.005295625345125054
2,Maize (Meal),starch_rich,320,Maize,France,2.68,2.68,0.0,4.39,0.95,9.29,5.54,0.0,0.0,C,0.007943438017687583
2,Maize (Meal),starch_rich,321,Maize,France,1.75,1.75,0.0,6.31,0.97,5.02,3.61,0.0,0.0,C,0.023830314053062743
2,Maize (Meal),starch_rich,322,Maize,France,2.28,2.28,0.0,3.73,0.85,7.18,4.2,0.0,0.0,C,0.007943438017687583
2,Maize (Meal),starch_rich,329,Maize,"Iran, Islamic Republic of",3.26,3.26,0.0,45.98,5.14,21.08,6.67,7190.95,461216.16,C,99.58916657737674
2,Maize (Meal),starch_rich,330,Maize,Italy,1.17,1.17,0.0,17.81,0.96,4.34,6.73,175.92,845.23,C,0.002647812672562527
2,Maize (Meal),starch_rich,331,Maize,Italy,1.43,1.43,0.0,4.71,1.06,12.37,5.05,557.73,1610.47,C,0.007943438017687583
2,Maize (Meal),starch_rich,332,Maize,Italy,1.03,1.03,0.0,3.38,0.95,9.71,4.29,400.38,1156.11,C,0.007943438017687583
2,Maize (Meal),starch_rich,333,Maize,Italy,0.77,0.77,0.0,2.53,0.89,8.00,2.87,375.35,1083.85,C,0.007943438017687583
2,Maize (Meal),starch_rich,334,Maize,Italy,0.66,0.66,0.0,2.18,0.87,4.78,0.78,386.6,1116.32,C,0.007943438017687583
2,Maize (Meal),starch_rich,335,Maize,Italy,0.71,0.71,0.0,2.32,0.87,4.97,0.78,413.14,1192.97,C,0.007943438017687583
2,Maize (Meal),starch_rich,352,Maize,Portugal,2.53,2.53,0.0,41.4,0.74,7.70,2.14,1473.56,110208.11,C,0.002647812672562527
2,Maize (Meal),starch_rich,353,Maize,Portugal,1.39,1.39,0.0,21.0,0.87,9.35,2.08,862.03,9184.69,C,0.002647812672562527
2,Maize (Meal),starch_rich,354,Maize,Portugal,1.54,1.54,0.0,30.01,0.72,7.90,1.89,1177.31,60077.42,C,0.002647812672562527
