Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,50,Wheat,Chile,3.87,3.87,0.0,78.7,1.31,18.09,4.91,2.2,86.39,C,47.7053842522953
1,Wheat & Rye (Bread),starch_rich,51,Wheat,Chile,9.75,9.75,0.0,198.23,1.09,4.71,0.58,2.2,86.39,O,7.95089737538255
1,Wheat & Rye (Bread),starch_rich,55,Winter wheat,China,0.73,0.73,0.0,2.93,1.17,16.02,5.5,1255.45,119559.54,C,0.005372778810492567
1,Wheat & Rye (Bread),starch_rich,56,Winter wheat,China,0.78,0.78,0.0,3.1,2.01,23.52,5.08,800.71,76200.18,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,57,Winter wheat,China,0.84,0.84,0.0,3.34,2.23,26.17,5.74,936.26,89124.77,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,58,Winter wheat,China,0.69,0.69,0.0,2.76,1.28,16.34,5.16,391.57,38998.44,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,61,Wheat,China,1.15,1.15,0.0,5.24,1.73,24.61,7.67,2.19,60.72,C,0.026863894052462835
1,Wheat & Rye (Bread),starch_rich,62,Wheat,China,1.09,1.09,0.0,4.96,1.45,18.42,5.63,2.19,60.72,C,0.026863894052462835
1,Wheat & Rye (Bread),starch_rich,63,Wheat,China,6.99,6.99,0.0,27.92,1.46,15.77,8.11,1033.73,93494.57,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,64,Wheat,China,6.48,6.48,0.0,25.88,1.3,15.87,8.4,1033.69,93490.84,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,65,Winter wheat,China,0.76,0.76,0.0,3.04,1.68,20.98,6.43,456.37,43367.12,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,66,Winter wheat,China,0.69,0.69,0.0,2.75,1.56,20.21,6.17,436.35,41458.2,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,67,Winter wheat,China,0.87,0.87,0.0,3.46,1.43,18.92,5.72,402.45,38225.92,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,68,Winter wheat,China,0.41,0.41,0.0,1.65,1.6,20.79,6.37,451.38,42891.3,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,72,Winter wheat,Cyprus,5.12,5.12,0.0,122.14,1.27,7.94,1.79,711.91,35533.54,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,132,Wheat,India,0.85,0.85,0.0,1.63,0.87,-,3.65,417.47,34313.53,C,0.04420298345530312
1,Wheat & Rye (Bread),starch_rich,133,Wheat,India,0.96,0.96,0.0,1.84,0.68,-,3.84,470.19,38663.37,C,0.004018453041391193
1,Wheat & Rye (Bread),starch_rich,134,Wheat flour,India,1.18,1.18,0.0,14.25,0.87,12.74,6.44,918.86,12715.67,C,0.4038545306598149
1,Wheat & Rye (Bread),starch_rich,135,Wheat flour,India,1.21,1.21,0.0,14.26,0.87,9.95,14.42,952.69,3684.54,C,0.056258342579476706
1,Wheat & Rye (Bread),starch_rich,136,Wheat,India,1.18,1.18,0.0,2.27,0.99,13.23,3.51,1271.81,104799.72,C,0.004018453041391193
1,Wheat & Rye (Bread),starch_rich,137,Wheat,India,1.18,1.18,0.0,2.27,1.0,13.23,3.51,1156.38,95276.57,C,0.004018453041391193
1,Wheat & Rye (Bread),starch_rich,138,Wheat,India,1.18,1.18,0.0,2.27,0.96,13.23,3.51,1266.76,104383.08,C,0.004018453041391193
1,Wheat & Rye (Bread),starch_rich,139,Wheat,India,1.18,1.18,0.0,2.27,0.81,-,4.97,146.49,11957.25,C,0.04420298345530312
1,Wheat & Rye (Bread),starch_rich,140,Wheat,India,1.12,1.12,0.0,2.15,0.44,-,4.72,138.67,11312.02,C,0.004018453041391193
1,Wheat & Rye (Bread),starch_rich,141,Wheat,"Iran, Islamic Republic of",3.38,3.38,0.0,9.85,1.81,9.12,15.22,1450.59,89886.4,C,0.010745557620985132
1,Wheat & Rye (Bread),starch_rich,142,Wheat,"Iran, Islamic Republic of",28.57,28.57,0.0,83.18,1.23,8.38,1.75,2.11,86.54,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,143,Wheat,"Iran, Islamic Republic of",6.67,6.67,0.0,19.41,1.66,33.48,12.07,601.45,38130.72,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,144,Wheat,"Iran, Islamic Republic of",5.11,5.11,0.0,14.88,1.29,23.33,8.29,806.24,51130.22,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,145,Wheat,"Iran, Islamic Republic of",4.19,4.19,0.0,12.2,1.14,19.41,6.73,660.1,41853.92,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,146,Wheat,"Iran, Islamic Republic of",3.71,3.71,0.0,10.81,0.98,14.74,5.03,585.04,37089.4,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,147,Wheat,"Iran, Islamic Republic of",4.43,4.43,0.0,12.9,1.44,18.09,6.47,3612.02,229233.89,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,148,Wheat,"Iran, Islamic Republic of",2.54,2.54,0.0,40.12,1.05,18.42,7.02,734.94,68403.35,C,0.009402362918361992
1,Wheat & Rye (Bread),starch_rich,149,Wheat,"Iran, Islamic Republic of",3.95,3.95,0.0,55.65,2.7,12.35,3.27,3166.83,203066.79,C,0.009402362918361992
1,Wheat & Rye (Bread),starch_rich,150,Wheat,"Iran, Islamic Republic of",2.48,2.48,0.0,39.15,1.32,16.77,8.32,948.37,85882.38,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,151,Wheat,"Iran, Islamic Republic of",1.93,1.93,0.0,30.52,0.88,7.44,4.15,937.77,84921.71,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,152,Wheat,"Iran, Islamic Republic of",2.21,2.21,0.0,34.81,1.02,10.02,5.3,946.0,85667.2,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,153,Wheat,"Iran, Islamic Republic of",4.23,4.23,0.0,66.78,0.82,4.98,2.93,2.11,86.54,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,154,Wheat,"Iran, Islamic Republic of",3.03,3.03,0.0,47.77,1.5,20.08,9.85,959.55,86896.01,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,155,Wheat,"Iran, Islamic Republic of",2.6,2.6,0.0,41.03,1.07,10.51,5.67,945.21,85595.75,C,0.006715973513115709
1,Wheat & Rye (Bread),starch_rich,178,Wheat,Mexico,2.4,2.4,0.0,137.24,0.86,12.30,7.5,172.85,201.07,C,25.991241626509996
1,Wheat & Rye (Bread),starch_rich,179,Wheat,Mexico,3.4,3.4,0.0,194.28,2.36,15.46,7.08,158.76,188.13,C,8.663747208836664
1,Wheat & Rye (Bread),starch_rich,180,Wheat,Mexico,2.32,2.32,0.0,132.27,0.52,11.88,5.61,172.5,200.75,C,8.663747208836664
1,Wheat & Rye (Bread),starch_rich,183,Wheat,Nepal,2.32,2.32,0.0,47.24,1.7,18.85,77.38,710.8,9832.47,C,0.0161183364314777
1,Wheat & Rye (Bread),starch_rich,184,Wheat,Nepal,2.4,2.4,0.0,48.81,1.7,19.01,42.7,435.74,6030.85,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,185,Wheat,Nepal,1.96,1.96,0.0,39.98,1.48,16.17,22.53,409.19,5663.79,C,0.0013431947026231418
1,Wheat & Rye (Bread),starch_rich,198,Wheat,Poland,3.5,3.5,0.0,7.62,1.79,6.71,3.29,2.19,4.26,C,0.14630125766077473
1,Wheat & Rye (Bread),starch_rich,199,Wheat,Poland,2.44,2.44,0.0,3.78,1.9,7.84,11.75,101.89,227.99,C,0.027431485811395265
1,Wheat & Rye (Bread),starch_rich,200,Wheat,Poland,2.44,2.44,0.0,3.77,1.71,7.10,9.81,101.78,227.75,C,0.027431485811395265
2,Maize (Meal),starch_rich,265,Maize,Argentina,1.81,1.81,0.0,12.2,1.29,9.33,2.18,507.92,10446.72,C,1.4996226970131592
2,Maize (Meal),starch_rich,270,Maize,Brazil,1.32,1.32,0.0,14.26,1.45,20.63,7.68,0.0,0.0,C,0.0826457509358135
2,Maize (Meal),starch_rich,271,Maize,Brazil,1.19,1.19,0.0,32.19,1.35,25.48,8.12,0.0,0.0,C,0.12396862640372026
2,Maize (Meal),starch_rich,341,Maize,Mexico,4.61,4.61,0.0,282.14,0.94,15.23,12.36,240.35,220.71,C,17.674609514386955
2,Maize (Meal),starch_rich,342,Maize,Mexico,3.42,3.42,0.0,209.18,0.79,11.56,6.57,269.76,247.72,C,1.1046630946491847
2,Maize (Meal),starch_rich,391,Maize,United States,1.73,1.73,0.0,2.74,0.66,7.81,2.12,203.6,13005.74,C,0.9061480377961386
2,Maize (Meal),starch_rich,392,Maize,United States,2.05,2.05,0.0,3.25,0.47,8.53,2.38,239.0,15267.38,C,0.33980551417355204
2,Maize (Meal),starch_rich,394,Maize,United States,1.04,1.04,0.0,1.57,0.69,7.84,3.48,315.8,354.63,C,7.022647292920074
2,Maize (Meal),starch_rich,396,Maize,United States,2.07,2.07,0.0,7.43,1.15,9.43,4.27,6.85,250.08,C,1.245953551969691
2,Maize (Meal),starch_rich,397,Maize,United States,1.36,1.36,0.0,1.96,0.7,7.37,1.37,0.0,0.0,C,18.236229260647292
2,Maize (Meal),starch_rich,398,Maize,United States,1.48,1.48,0.0,2.14,0.87,10.57,2.32,0.0,0.0,C,18.236229260647292
2,Maize (Meal),starch_rich,399,Maize,United States,2.09,2.09,0.0,4.74,0.92,10.45,2.44,0.0,0.0,C,3.058249627561968
2,Maize (Meal),starch_rich,400,Maize,United States,2.42,2.42,0.0,4.33,0.98,10.92,2.44,0.0,0.0,C,5.6634252362258675
2,Maize (Meal),starch_rich,401,Maize,United States,1.49,1.49,0.0,2.15,0.9,6.07,1.13,0.0,0.0,C,5.6634252362258675
2,Maize (Meal),starch_rich,402,Maize,United States,3.14,3.14,0.0,4.52,1.49,12.11,3.03,0.0,0.0,C,3.8511291606335893
2,Maize (Meal),starch_rich,403,Maize,United States,1.36,1.36,0.0,2.06,0.84,7.96,1.61,667.94,42667.68,C,7.022647292920074
2,Maize (Meal),starch_rich,404,Maize,United States,2.24,2.24,0.0,3.22,0.84,8.20,1.49,174.92,1485.88,C,7.022647292920074
2,Maize (Meal),starch_rich,405,Maize,United States,1.75,1.75,0.0,6.28,0.92,4.58,3.88,371.26,13546.37,C,1.245953551969691
3,Barley (Beer),alcohols,415,Beer,Australia,1.13,1.13,0.0,31.96,1.53,6.48,2.06,8.93,226.05,C,0.18251265455664997
3,Barley (Beer),alcohols,416,Beer (Vashon Brewing Company),United States,1.67,1.67,0.0,5.99,2.64,38.36,4.82,44.67,1620.87,C,0.7767458756776471
3,Barley (Beer),alcohols,417,"Beer (Vortex IPA, Fort George Brewery)",United States,2.37,2.37,0.0,8.48,1.37,17.61,12.37,66.13,2391.44,C,0.7767458756776471
3,Barley (Beer),alcohols,418,"Beer (Pinnacle Peak Pale Ale, Harmon Brewing Company)",United States,1.48,1.48,0.0,5.32,0.61,7.55,3.41,39.4,1413.33,C,0.7767458756776471
3,Barley (Beer),alcohols,419,"Beer (HUB Lager, Hopworks Urban Brewery)",United States,0.88,0.88,0.0,3.16,0.78,11.21,2.56,26.7,914.87,C,0.7767458756776471
3,Barley (Beer),alcohols,420,"Beer (Horn Blonde Ale, RAM Brewery)",United States,0.97,0.97,0.0,3.49,0.44,4.82,2.2,26.4,943.45,C,0.7767458756776471
3,Barley (Beer),alcohols,423,Barley,Australia,1.52,1.52,0.0,3.9,0.98,5.32,1.05,6.96,177.16,C,0.2515714968213283
3,Barley (Beer),alcohols,424,Barley,Australia,1.31,1.31,0.0,40.47,1.02,-,1.76,6.96,177.16,C,0.18251265455664997
3,Barley (Beer),alcohols,425,Barley,Australia,1.22,1.22,0.0,10.56,1.02,5.34,1.2,6.96,177.16,C,0.009865548894954054
3,Barley (Beer),alcohols,427,Barley,Belgium,0.55,0.55,0.0,0.9,1.04,5.44,1.45,6.96,8.1,C,3.7283155760061613
3,Barley (Beer),alcohols,431,Spring barley,Canada,0.68,0.68,0.0,0.61,1.05,-,1.34,6.96,18.22,C,3.892143783342661
3,Barley (Beer),alcohols,432,Spring barley,Canada,1.45,1.45,0.0,1.61,1.08,-,1.32,6.96,18.22,C,3.892143783342661
3,Barley (Beer),alcohols,435,Spring barley,Denmark,0.39,0.39,0.0,0.59,1.12,5.92,1.86,6.96,33.61,C,0.5066497939164541
3,Barley (Beer),alcohols,441,Barley,Denmark,0.28,0.28,0.0,0.41,1.06,5.33,1.55,6.96,33.61,C,0.5066497939164541
3,Barley (Beer),alcohols,443,Summer malting barley,France,0.22,0.22,0.0,0.35,1.03,5.60,1.46,25.47,92.27,C,8.402458105361998
3,Barley (Beer),alcohols,444,Summer malting barley,France,0.23,0.23,0.0,0.38,1.03,5.56,1.47,27.18,99.31,C,8.402458105361998
3,Barley (Beer),alcohols,445,Summer malting barley,France,0.34,0.34,0.0,0.48,1.04,5.70,2.83,6.96,16.1,C,2.211173185621578
3,Barley (Beer),alcohols,446,Summer malting barley,France,0.3,0.3,0.0,0.42,1.05,5.77,2.87,6.96,16.1,C,2.211173185621578
3,Barley (Beer),alcohols,447,Summer malting barley,France,0.3,0.3,0.0,0.43,1.04,5.76,3.3,6.96,16.1,C,2.211173185621578
3,Barley (Beer),alcohols,448,Summer malting barley,France,0.32,0.32,0.0,0.45,1.05,5.79,2.19,6.96,16.1,C,4.422346371243156
3,Barley (Beer),alcohols,449,Winter malting barley,France,0.24,0.24,0.0,0.34,1.03,5.69,2.75,6.96,16.1,C,2.211173185621578
3,Barley (Beer),alcohols,450,Winter malting barley,France,0.21,0.21,0.0,0.31,1.03,5.71,2.6,6.96,16.1,C,2.211173185621578
3,Barley (Beer),alcohols,451,Spring barley,France,0.31,0.31,0.0,1.11,1.05,5.68,1.69,6.96,16.1,C,17.24715084784831
3,Barley (Beer),alcohols,452,Barley,France,0.27,0.27,0.0,0.97,1.04,5.74,1.56,7.81,23.19,C,17.24715084784831
3,Barley (Beer),alcohols,453,Barley,France,0.27,0.27,0.0,0.38,1.07,5.95,2.64,7.25,16.49,C,4.422346371243156
3,Barley (Beer),alcohols,454,Barley,France,0.42,0.42,0.0,0.69,1.05,5.77,1.56,6.96,16.1,C,5.306815645491788
3,Barley (Beer),alcohols,456,Winter barley,Germany,0.22,0.22,0.0,0.36,1.03,5.68,2.38,9.42,12.61,C,3.092891801440715
3,Barley (Beer),alcohols,457,Barley,Germany,0.23,0.23,0.0,0.34,1.08,5.41,1.62,7.19,9.2,C,0.6318811207244472
3,Barley (Beer),alcohols,467,Barley,Norway,0.49,0.49,0.0,0.23,1.29,5.83,1.9,6.96,4.42,C,0.000908506084871164
3,Barley (Beer),alcohols,468,Barley,Norway,0.34,0.34,0.0,0.15,1.18,5.90,1.58,6.96,4.42,C,0.000908506084871164
3,Barley (Beer),alcohols,475,Barley,Spain,0.38,0.38,0.0,6.26,0.99,5.10,1.04,102.76,9772.96,C,0.33899593541187156
3,Barley (Beer),alcohols,476,Barley,Spain,0.77,0.77,0.0,12.51,1.13,5.71,4.28,7.52,256.0,C,0.48868245234698376
3,Barley (Beer),alcohols,477,Barley,Sweden,0.39,0.39,0.0,0.25,1.09,5.21,1.69,6.96,28.01,C,0.14635982643725556
3,Barley (Beer),alcohols,478,Barley,Sweden,0.64,0.64,0.0,0.4,1.15,5.27,1.86,6.96,28.01,C,0.060983261015523135
3,Barley (Beer),alcohols,479,Barley,Sweden,0.4,0.4,0.0,0.25,1.1,5.26,1.33,6.96,28.01,C,0.28052300067140645
3,Barley (Beer),alcohols,481,Winter barley,Switzerland,0.23,0.23,0.0,1.91,1.02,5.59,2.34,7.85,7.3,C,0.0009576381528836775
3,Barley (Beer),alcohols,482,Winter barley,Switzerland,0.31,0.31,0.0,2.55,1.03,5.72,2.91,7.85,7.3,C,0.0009576381528836775
3,Barley (Beer),alcohols,483,Winter barley,Switzerland,0.25,0.25,0.0,2.13,1.05,5.71,4.49,6.96,5.71,C,0.0009576381528836775
3,Barley (Beer),alcohols,484,Winter barley,Switzerland,0.27,0.27,0.0,2.24,1.06,6.00,4.72,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,485,Winter barley,Switzerland,0.32,0.32,0.0,2.69,1.07,5.78,5.7,6.96,5.71,C,0.0009576381528836775
3,Barley (Beer),alcohols,486,Winter barley,Switzerland,0.33,0.33,0.0,2.8,1.08,6.40,5.98,6.96,5.71,C,0.0009576381528836775
3,Barley (Beer),alcohols,487,Winter barley,Switzerland,0.43,0.43,0.0,3.58,1.08,7.67,7.36,6.96,5.71,O,0.00047881907644183876
3,Barley (Beer),alcohols,488,Winter barley,Switzerland,0.42,0.42,0.0,3.51,1.08,7.77,7.38,6.96,5.71,O,0.00047881907644183876
3,Barley (Beer),alcohols,489,Summer barley,Switzerland,0.27,0.27,0.0,2.25,1.06,5.64,3.68,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,490,Summer barley,Switzerland,0.28,0.28,0.0,2.37,1.07,5.68,3.86,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,491,Summer barley,Switzerland,0.37,0.37,0.0,3.07,1.08,5.75,4.48,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,492,Summer barley,Switzerland,0.34,0.34,0.0,2.84,1.09,6.03,4.63,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,493,Summer barley,Switzerland,0.35,0.35,0.0,2.96,1.1,7.11,5.05,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,494,Summer barley,Switzerland,0.4,0.4,0.0,3.35,1.11,6.63,4.93,6.96,5.71,C,0.00047881907644183876
3,Barley (Beer),alcohols,495,Summer barley,Switzerland,0.45,0.45,0.0,3.78,1.08,7.00,4.79,6.96,5.71,O,0.00047881907644183876
3,Barley (Beer),alcohols,496,Summer barley,Switzerland,0.44,0.44,0.0,3.71,1.08,7.02,4.79,6.96,5.71,O,0.00047881907644183876
3,Barley (Beer),alcohols,497,Summer barley,Switzerland,0.45,0.45,0.0,3.75,1.08,6.93,4.47,6.96,5.71,O,0.00047881907644183876
3,Barley (Beer),alcohols,501,Winter barley,United Kingdom,0.32,0.32,0.0,0.42,1.04,5.36,1.38,6.96,21.8,C,0.36579293850299865
3,Barley (Beer),alcohols,502,Winter barley,United Kingdom,0.79,0.79,0.0,1.06,1.04,5.24,1.89,6.96,21.8,O,0.029263435080239892
3,Barley (Beer),alcohols,503,Spring barley,United Kingdom,0.36,0.36,0.0,0.48,1.03,5.57,1.4,6.96,21.8,C,0.9803250751880361
3,Barley (Beer),alcohols,504,Spring barley,United Kingdom,0.94,0.94,0.0,1.27,1.05,5.37,2.2,6.96,21.8,O,0.029263435080239892
4,Oatmeal,starch_rich,508,Oats,Australia,12.39,12.39,0.0,388.73,0.88,-,7.94,0.0,0.0,C,0.03326809157893068
4,Oatmeal,starch_rich,510,Oats,Canada,3.0,3.0,0.0,2.04,0.88,7.93,9.83,2.16,20.88,C,86.5218350458328
4,Oatmeal,starch_rich,511,Oats,Finland,2.65,2.65,0.0,1.15,1.09,8.45,25.38,1.9,3.27,C,0.5668566910551673
4,Oatmeal,starch_rich,515,Oats,Norway,3.64,3.64,0.0,1.67,2.78,9.06,7.4,0.0,0.0,C,0.0566768246528155
4,Oatmeal,starch_rich,516,Oats,Norway,2.82,2.82,0.0,1.2,2.03,9.33,5.24,0.0,0.0,C,0.0566768246528155
4,Oatmeal,starch_rich,517,Oats,Portugal,9.58,9.58,0.0,151.23,1.81,16.82,5.85,1278.08,44509.01,C,0.038965316948810655
4,Oatmeal,starch_rich,518,Oats,Sweden,3.08,3.08,0.0,4.39,1.35,4.77,6.8,0.0,0.0,C,0.07764303956488788
4,Oatmeal,starch_rich,519,Oats,Sweden,5.45,5.45,0.0,3.41,1.87,5.12,7.99,0.0,0.0,C,0.2374963563161276
4,Oatmeal,starch_rich,520,Oats,Sweden,3.33,3.33,0.0,2.08,1.41,5.01,3.4,0.0,0.0,C,0.21922740583027162
4,Oatmeal,starch_rich,524,Oats,United States,7.21,7.21,0.0,49.83,4.26,18.28,11.12,1791.1,105303.87,C,12.19135440356736
5,Rice,starch_rich,546,Rice,India,2.4,2.4,0.0,35.78,8.44,23.86,6.52,3032.1,5927.58,C,0.025193817952131426
5,Rice,starch_rich,547,Rice,India,3.06,3.06,0.0,32.21,3.09,-,5.32,5063.93,11231.85,C,0.001007752718085257
5,Rice,starch_rich,548,Rice,India,4.82,4.82,0.0,50.71,6.92,-,10.89,12406.61,27517.99,C,0.03879847964628239
5,Rice,starch_rich,549,Rice,India,1.1,1.1,0.0,13.36,1.14,17.08,8.05,2738.64,37851.22,C,0.04937988318617759
5,Rice,starch_rich,550,Rice,India,1.13,1.13,0.0,13.32,1.47,10.09,9.27,303.9,1163.51,C,0.05593027585373176
5,Rice,starch_rich,551,Rice,India,1.88,1.88,0.0,3.5,1.44,14.68,5.41,2991.49,165977.68,C,0.0005038763590426285
5,Rice,starch_rich,552,Rice,India,1.65,1.65,0.0,3.06,1.78,13.39,5.06,2990.22,165907.42,C,0.03879847964628239
5,Rice,starch_rich,553,Rice,India,1.58,1.58,0.0,2.93,2.11,17.60,4.79,10089.24,832397.39,C,0.011085279898937829
5,Rice,starch_rich,554,Rice,India,1.51,1.51,0.0,2.8,1.97,16.86,4.22,9857.22,813254.26,C,0.001007752718085257
5,Rice,starch_rich,555,Rice,India,1.74,1.74,0.0,3.23,1.73,18.87,4.83,8882.9,732870.24,C,0.001007752718085257
5,Rice,starch_rich,556,Rice,India,1.56,1.56,0.0,2.91,1.74,16.98,4.24,9609.66,792830.26,C,0.001007752718085257
5,Rice,starch_rich,557,Rice,India,1.63,1.63,0.0,3.03,1.83,17.55,4.39,9482.97,782377.73,C,0.001007752718085257
5,Rice,starch_rich,582,Jasmine rice,Thailand,3.14,3.14,0.0,78.84,9.33,61.72,138.45,7.73,60.15,C,0.2819558749443598
