Product id,Data S2 Name,Group,id,Product_details,Country,Land Use (m2*year),Arable Land Use (m2*year),Pasture Land Use (m2*year),Biodiversity (sp*yr*10^14),"GHG Emissions (kg CO2eq, IPCC2013 incl CC feedbacks)",Acidification (g SO2eq),Eutrophication (g PO43-eq),Water Use (L),Scarcity Weighted Water Use (L eq),Sys,Weight
1,Wheat & Rye (Bread),starch_rich,4,Wheat bread,France,5.42,5.42,0.0,19.49,1.47,-,18.15,9.23,24.81,C,0.31308609492152467
1,Wheat & Rye (Bread),starch_rich,5,Wheat and rye bread,France,29.28,29.28,0.0,105.26,4.46,-,35.38,11.53,84.81,C,0.31308609492152467
1,Wheat & Rye (Bread),starch_rich,6,Wheat bread,France,1.44,1.44,0.0,2.36,1.17,-,2.93,65.36,262.65,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,7,Wheat bread,Germany,1.31,1.31,0.0,2.11,0.65,5.27,0.62,2.19,2.73,C,0.36260632407137117
1,Wheat & Rye (Bread),starch_rich,8,Wheat bread,Germany,1.99,1.99,0.0,3.23,0.42,3.41,0.29,2.19,2.73,O,0.030217193672614266
1,Wheat & Rye (Bread),starch_rich,9,Wheat bread,Germany,1.38,1.38,0.0,2.23,0.7,7.28,9.43,16.43,26.48,C,0.36260632407137117
1,Wheat & Rye (Bread),starch_rich,10,Wheat bread,Italy,7.99,7.99,0.0,111.89,1.88,-,26.36,6.54,142.17,C,12.679962578015726
1,Wheat & Rye (Bread),starch_rich,11,Wheat and rye bread,Norway,2.5,2.5,0.0,1.16,1.83,6.41,5.53,2.19,1.4,C,0.001846378553685097
1,Wheat & Rye (Bread),starch_rich,12,Wheat and rye bread,Portugal,6.5,6.5,0.0,126.26,2.13,-,8.59,3.95,76.61,O,0.9454997689866832
1,Wheat & Rye (Bread),starch_rich,13,Wheat bread,Portugal,1.51,1.51,0.0,22.79,1.5,-,2.57,1.14,14.26,O,0.9454997689866832
1,Wheat & Rye (Bread),starch_rich,14,Wheat bread,Spain,3.33,3.33,0.0,54.33,1.65,-,17.67,5.04,304.36,C,7.563998151893464
1,Wheat & Rye (Bread),starch_rich,15,Wheat bread,Switzerland,1.82,1.82,0.0,15.92,0.74,7.62,10.18,8.19,14.54,C,0.038010390368076345
1,Wheat & Rye (Bread),starch_rich,41,Wheat,Belgium,2.72,2.72,0.0,4.43,1.03,7.14,3.49,2.19,2.56,C,0.057015585552114514
1,Wheat & Rye (Bread),starch_rich,50,Wheat,Chile,3.87,3.87,0.0,78.7,1.31,18.09,4.91,2.2,86.39,C,0.7826535947133215
1,Wheat & Rye (Bread),starch_rich,51,Wheat,Chile,9.75,9.75,0.0,198.23,1.09,4.71,0.58,2.2,86.39,O,0.13044226578555362
1,Wheat & Rye (Bread),starch_rich,55,Winter wheat,China,0.73,0.73,0.0,2.93,1.17,16.02,5.5,1255.45,119559.54,C,0.007977122205980326
1,Wheat & Rye (Bread),starch_rich,56,Winter wheat,China,0.78,0.78,0.0,3.1,2.01,23.52,5.08,800.71,76200.18,C,0.009971402757475406
1,Wheat & Rye (Bread),starch_rich,57,Winter wheat,China,0.84,0.84,0.0,3.34,2.23,26.17,5.74,936.26,89124.77,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,58,Winter wheat,China,0.69,0.69,0.0,2.76,1.28,16.34,5.16,391.57,38998.44,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,61,Wheat,China,1.15,1.15,0.0,5.24,1.73,24.61,7.67,2.19,60.72,C,0.039885611029901624
1,Wheat & Rye (Bread),starch_rich,62,Wheat,China,1.09,1.09,0.0,4.96,1.45,18.42,5.63,2.19,60.72,C,0.039885611029901624
1,Wheat & Rye (Bread),starch_rich,63,Wheat,China,6.99,6.99,0.0,27.92,1.46,15.77,8.11,1033.73,93494.57,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,64,Wheat,China,6.48,6.48,0.0,25.88,1.3,15.87,8.4,1033.69,93490.84,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,65,Winter wheat,China,0.76,0.76,0.0,3.04,1.68,20.98,6.43,456.37,43367.12,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,66,Winter wheat,China,0.69,0.69,0.0,2.75,1.56,20.21,6.17,436.35,41458.2,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,67,Winter wheat,China,0.87,0.87,0.0,3.46,1.43,18.92,5.72,402.45,38225.92,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,68,Winter wheat,China,0.41,0.41,0.0,1.65,1.6,20.79,6.37,451.38,42891.3,C,0.01595424441196065
1,Wheat & Rye (Bread),starch_rich,72,Winter wheat,Cyprus,5.12,5.12,0.0,122.14,1.27,7.94,1.79,711.91,35533.54,C,0.0019942805514950816
1,Wheat & Rye (Bread),starch_rich,76,Wheat,Denmark,1.53,1.53,0.0,2.28,1.1,15.21,6.75,2.19,10.6,C,0.016617406983165873
1,Wheat & Rye (Bread),starch_rich,77,Wheat,Denmark,2.53,2.53,0.0,3.77,1.3,27.60,13.42,2.19,10.6,O,0.001846378553685097
1,Wheat & Rye (Bread),starch_rich,91,Winter wheat,France,1.32,1.32,0.0,2.17,0.98,8.07,6.78,59.25,239.85,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,92,Winter wheat,France,0.99,0.99,0.0,1.62,0.97,8.02,3.97,57.92,234.36,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,93,Winter wheat,France,1.07,1.07,0.0,1.75,0.98,8.10,4.01,62.72,254.11,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,94,Winter wheat,France,1.19,1.19,0.0,1.95,0.89,7.14,5.83,53.68,216.95,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,95,Winter wheat,France,1.3,1.3,0.0,2.13,0.91,7.14,6.18,58.5,236.76,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,96,Winter wheat,France,1.4,1.4,0.0,1.99,1.04,8.41,10.54,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,97,Winter wheat,France,1.42,1.42,0.0,2.03,0.92,6.82,7.73,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,98,Winter wheat,France,1.27,1.27,0.0,1.82,0.93,7.19,7.2,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,99,Winter wheat,France,1.17,1.17,0.0,1.67,0.92,7.20,4.23,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,100,Winter wheat,France,1.05,1.05,0.0,1.49,0.95,7.75,5.16,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,101,Winter wheat,France,1.43,1.43,0.0,2.05,0.99,9.03,7.34,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,102,Winter wheat,France,1.3,1.3,0.0,1.86,0.92,8.16,6.56,2.19,5.08,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,103,Soft wheat,France,3.69,3.69,0.0,13.26,1.09,4.93,5.47,2.19,5.08,O,0.020872406328101646
1,Wheat & Rye (Bread),starch_rich,104,Soft wheat,France,2.74,2.74,0.0,9.84,0.86,4.69,4.15,2.19,5.08,O,0.020872406328101646
1,Wheat & Rye (Bread),starch_rich,105,Soft wheat,France,1.46,1.46,0.0,2.4,1.21,9.54,4.8,26.95,129.48,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,106,Soft wheat,France,1.28,1.28,0.0,2.1,1.0,8.37,4.0,4.3,15.67,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,107,Wheat,France,1.37,1.37,0.0,2.25,0.96,5.29,2.67,2.19,5.08,C,0.12523443796860986
1,Wheat & Rye (Bread),starch_rich,108,Wheat,France,1.47,1.47,0.0,2.41,0.81,4.45,3.62,2.19,5.08,C,0.12523443796860986
1,Wheat & Rye (Bread),starch_rich,109,Wheat,France,1.55,1.55,0.0,2.2,1.23,9.59,9.35,4.0,7.48,C,0.06261721898430493
1,Wheat & Rye (Bread),starch_rich,110,Wheat,France,1.47,1.47,0.0,5.28,1.04,7.36,3.84,2.19,5.08,C,0.31308609492152467
1,Wheat & Rye (Bread),starch_rich,111,Wheat,France,1.65,1.65,0.0,2.7,0.92,5.81,3.97,2.19,5.08,C,0.31308609492152467
1,Wheat & Rye (Bread),starch_rich,112,Wheat,France,1.53,1.53,0.0,5.51,1.12,5.82,3.59,2.19,5.08,C,0.31308609492152467
1,Wheat & Rye (Bread),starch_rich,113,Winter wheat,France,2.05,2.05,0.0,3.36,1.0,7.85,3.74,2.19,5.08,C,0.18785165695291475
1,Wheat & Rye (Bread),starch_rich,115,Wheat,Germany,1.36,1.36,0.0,2.06,1.24,6.05,4.97,110.05,264.14,C,0.09065158101784279
1,Wheat & Rye (Bread),starch_rich,116,Wheat,Germany,1.36,1.36,0.0,2.06,1.23,5.99,4.88,109.96,263.93,C,0.09065158101784279
1,Wheat & Rye (Bread),starch_rich,117,Wheat,Germany,1.36,1.36,0.0,2.06,1.22,5.98,4.8,110.17,264.43,C,0.09065158101784279
1,Wheat & Rye (Bread),starch_rich,118,Wheat,Germany,2.72,2.72,0.0,4.11,1.48,27.00,15.15,109.95,263.89,O,0.030217193672614266
1,Wheat & Rye (Bread),starch_rich,123,Winter wheat,Germany,1.65,1.65,0.0,2.39,0.98,10.15,4.0,2.19,2.73,C,0.45325790508921393
1,Wheat & Rye (Bread),starch_rich,124,Winter wheat,Germany,3.57,3.57,0.0,5.17,1.19,11.73,4.85,2.19,2.73,O,0.030217193672614266
1,Wheat & Rye (Bread),starch_rich,125,Winter wheat,Germany,2.77,2.77,0.0,4.0,1.36,8.22,2.32,2.19,2.73,O,0.030217193672614266
1,Wheat & Rye (Bread),starch_rich,126,Winter rye,Germany,3.06,3.06,0.0,4.43,0.92,10.17,3.4,2.19,2.73,O,0.030217193672614266
1,Wheat & Rye (Bread),starch_rich,127,Winter wheat,Germany,1.54,1.54,0.0,2.49,1.1,6.87,11.95,2.19,2.73,C,0.36260632407137117
1,Wheat & Rye (Bread),starch_rich,128,Wheat,Germany,1.52,1.52,0.0,2.3,1.24,6.31,4.51,3.83,6.7,C,0.09065158101784279
1,Wheat & Rye (Bread),starch_rich,131,Wheat flour,Greece,4.87,4.87,0.0,81.32,1.84,14.50,4.84,2.19,67.45,C,12.291496996826881
1,Wheat & Rye (Bread),starch_rich,132,Wheat,India,0.85,0.85,0.0,1.63,0.87,-,3.65,417.47,34313.53,C,0.0835183707094333
1,Wheat & Rye (Bread),starch_rich,133,Wheat,India,0.96,0.96,0.0,1.84,0.68,-,3.84,470.19,38663.37,C,0.007592579155403026
1,Wheat & Rye (Bread),starch_rich,134,Wheat flour,India,1.18,1.18,0.0,14.25,0.87,12.74,6.44,918.86,12715.67,C,0.763054205118004
1,Wheat & Rye (Bread),starch_rich,135,Wheat flour,India,1.21,1.21,0.0,14.26,0.87,9.95,14.42,952.69,3684.54,C,0.10629610817564236
